Negative Tweet,Negative Score,Cluster
bizarre many hate messages toxic tweets sentposted extreme zionists different nationalities openly express resentment still alive maybe ageism theyre surprised survived mids spite israeli occupation,0.323,0
last country world complain another countrys invasion united states morally disqualified bloodsoaked record,0.293,0
pret baristas earning hour doctors year medical degree whopping student debt life death responsibilities paid hour government wonders theyre striking,0.262,0
uttar pradesh illegal properties close aides mafia mukhtar ansari rafique iftikhar bulldozed banda lakh cash pistols seized residences well,0.159,0
chinese entered inside indian territory killed soilders denial rahul gandhi shames indian army govts statement galwan clash london,0.31,0
joint forces baramulla police crpf arrested terrorist associates kunzer baramulla ammunition alongwith indiscriminating material recovered case registered jmukmrpolice kashmirpolice digbaramulla amodindia,0.291,0
alok kumar adgpdirector fire emergency services alongwith pawan pariharcoirp prestigious golf gross team trophyoverall championshipin india police golf tournament held march greensnoida organised crpf,0.278,0
manik jollysm manikmjolly irritates picks scientific terms starts adding weird logics justify truth othersâ minds evolved enough canât understand seeing canât prove single thing says fraud ðÿðÿ,0.245,0
pakistan hindu students attacked radicals celebrating holi punjab university premises lahore many minority hindu students injured admitted hospital,0.23,0
replying reporter clear cctv visuals husband shot dead umesh constable sandeep nishad encountered choudharys wife replies also agree killed sent jail would spent jail,0.26,0
india tests brahmos hypersonic missile arabian sunday march magnetometer station alibag coast magnetic anomaly first farther hyderabadhyb test time hypersonics really shake things,0.083,0
braj never festival bengali festival brought mathura area bengalis established place vrindavan find mention brahm vaivart purana vishambhar mishrs popularly known goud nitai came search vrindavan established,0.164,0
japan debuted rocket today scrubbed launch unfortunately failed reach orbit mission controllers issued selfdestruct bummer guys better luck next time japan avgeek jaxa,0.257,0
join tolo news hours discuss universities restarting without female students afghanistan another promise nation broken another time nations heart broken letafghangirlslearn,0.224,0
education system hostage religious pedagogy teaches bigotry secular education system teaches greed character building critical thinking absent system little wonder churning hate spewing ignoramuses,0.37,2
mess external financing brushed carpet pending outflows profit repatriations stuck import cargoes swaps services dues awaiting outward transfer aggregate disclosure required ministry finance,0.164,0
whats inquired none pleasantly circus julius circus clowns foalys head poked doorway pardon interrupting extended circus metaphor hell politicalcircus,0.351,2
baloch women deserve justice pakistan rape used tool humiliation take power victims,0.484,2
summary support aurat march itâs clashed cult damage womenâs causesâ,0.23,0
express deep concern recent incident reported balochistan young girl ameera bibi brutally raped physically assaulted face disfigured acid,0.444,2
outrageous behavior deputymultan towards office shown door asked women trans ridiculed outspoken rights shame,0.439,2
demand state issue auratmarch auratmarchisb auratmarchmultn hold march without otherwise remain prepared showing street power even fury auratmarch riyasatjawabdouzulmkahisaabdou marchtuhoga,0.288,0
tanzeem islami says women children face sexual violence hayai religious groups promote rape culture onus victim criminal marchtuhoga,0.478,2
lets forget struggle gender equality standing auratmarchisb standing basic rights women heard recognized equal members societylets unite push progress towards inclusive future,0.162,0
march take streets full color full unapologetic feirceness reclaim space tell tales fight never cede marchtuhoga auratmarch,0.14,0
replying alirazazahid auratmarchisb auratmarch nobody wants âœpolitical favorsâ right political party good also raised rape apologists victim blamers,0.345,0
lahore city admin decided instead peaceful march year international womens violence death threats abusive slogans streets lahore halsirffeminism marchtuhoga,0.466,2
condemn decision lahore administration issue aurat march lahore administration doesnt understand cannot stop demanding marching rights auratmarch halsirffeminism,0.203,0
youâre join mark womenâs march patriarchy pakistan beyond recent uptick rape cases pakistan ensuing victimblaming must widely condemned male allies welcome join,0.237,0
replying auratmarchisb despicable women forbidden staging peaceful march beyond comprehension violent mullahs block roads sticks hands reject women,0.432,2
dchowk hotspot political rallies held hostage months violent itâs shame district administration exercise authority auratmarchisb state scared peaceful march,0.349,2
ðÿµðÿ pakistan amnesty international dismayed decision lahore district administration refuse permission auratmarch citing âœcontroversial cards banners awareness womenâs rightsâ amongst reasons,0.212,0
sheikhfazlelahnuri nazem alislam swear truth islam schools sharia doesnt entering schools coincide decline islam doesnt foreign language lessons studying chemistry physics make students beliefs stupid weak poisoningstudentsis,0.229,0
iranianschoolholocaust iranianschoolgirls litvinenko russian irgcterrorists applying russian methods poisoning considered enemies,0.438,2
irgcterrorists gasing fear intimidation last resort force brave iranian women stay home cannot stop womanrevolution alinejadmasih pahlavireza rshemroon siraleqthegreat chawshin anonymousnn beehnam babakshekarabi weimers,0.192,0
iranian government evil dont care,0.701,1
mothers protesting childrens poisoning abused iranian authorities said tell truth unless change become like little children never enter kingdom heaven matthew pray repentance protest violence,0.447,2
designate entities helping launder money regime steal iranian people,0.258,0
akron trade transport located fujairah main player iran smuggling mechanism hiding back back deals nioc irgc greek shipowners also conduct operations needed touch touch terror atrocities violence europe,0.348,2
maddow please report iranian governments attacks schoolgirls families,0.259,0
tweeting message priority representatives specific need pressure cosponsor mahsa week prewritten message tweet mass tomorrow march easternpm centralam pacificpm tehran,0.104,0
name monster sahartorkemanpari school principal tehran locked students prayer room school ensured maximum exposure chemical gasses many students hospitalized thereâs special place hell,0.163,0
